"Subject","Label","Mean_features","Stdev_features","body_acc_x_train_mean","body_acc_y_train_mean","body_acc_z_train_mean","body_gyro_x_train_mean","body_gyro_y_train_mean","body_gyro_z_train_mean","total_acc_x_train_mean","total_acc_y_train_mean","total_acc_z_train_mean","body_acc_x_train_stdev","body_acc_y_train_stdev","body_acc_z_train_stdev","body_gyro_x_train_stdev","body_gyro_y_train_stdev","body_gyro_z_train_stdev","total_acc_x_train_stdev","total_acc_y_train_stdev","total_acc_z_train_stdev"
1,"WALKING",-0.318960627361468,0.452813669007179,-0.000598411659572368,-0.00343591268224342,-0.00308040846396875,-0.0555502911444885,0.0221323452675062,-0.0057427844143347,0.951557751408717,-0.337849416369819,0.0376397112492143,0.258939983000235,0.187841186272941,0.130525200494542,0.46735526741317,0.40023521346312,0.296053813664002,0.258096134870731,0.186844654980539,0.128557339046971
2,"WALKING",-0.385694210106277,0.471762054184258,-0.000145270775869969,-0.000685809449602754,-0.000482767714586864,0.00680475583131621,-0.00537360199819915,-0.00857438226412871,0.992633570815678,-0.241114567590585,0.00885363410270392,0.369792729099626,0.20284357505076,0.141902447695731,0.632429416062467,0.379992803083229,0.392583243429825,0.369333341376732,0.2020032030134,0.140727908102655
3,"WALKING",-0.386865862874514,0.47042947054323,-0.000289874980438847,-0.00446962568807126,-0.000562226860778556,0.0489162519904281,-0.00424125979061665,0.00348191013845744,1.00675432905442,-0.156654196887186,0.10286659935556,0.181297932808211,0.110164506749675,0.0807471467480338,0.344571116666797,0.228350139230638,0.223373439733095,0.180439845473836,0.107928090312244,0.0764250581089689
4,"WALKING",-0.430527411183803,0.485560386633753,-0.000381333808279167,-0.000320893095053125,-0.000449590973644792,-0.0141164282717997,-0.00175327800893281,0.00718353271024354,0.398824181889974,0.23525320350206,0.509291085556354,0.0902748500108983,0.0570520879394201,0.0822169481654165,0.165191533884402,0.378232165898696,0.134375622719647,0.086636872767523,0.0561798652713631,0.0809714190291514
5,"WALKING",-0.37852873140792,0.471353212636738,-0.0057844339917502,-0.00300411581905929,0.0107305123100225,-0.00603878352840039,-0.000864997661770368,-0.0018159939983743,0.936165952134487,0.0671873016092494,0.0824369228881696,0.0144859849866012,0.0241832305550238,0.0271641595864796,0.0389847395086756,0.0467838837848989,0.0392430997734838,0.0116874735507366,0.0155310465268204,0.0199795047726466
6,"WALKING",-0.336991234445959,0.463330854806908,-0.00312134557334238,0.000172118875604715,0.00283691981999915,-0.00866622015881187,-0.00042760838389079,0.00804641773257484,0.785286434242736,-0.0809353339334868,0.273373344199594,0.0122549252211376,0.0143784137885602,0.0142433776424605,0.0264784721360654,0.0351806461020222,0.0274047773038384,0.00725070170790331,0.0104753865103818,0.0109036885551942
7,"WALKING",-0.30631318429945,0.458956968238673,-0.000628083117773575,0.00078687962094449,0.00299316051519901,0.00116537191365378,-0.00625915343325918,0.0105323373303259,0.858513946954496,0.181384475075578,0.0684555472778372,0.00785946605127635,0.0131280736849386,0.0157733987331324,0.0247382310933482,0.0285994355178772,0.0246864962039065,0.00582797670117327,0.00755453367509077,0.00885039906254514
8,"WALKING",-0.299687505671125,0.460467697849147,-6.37959344496093e-05,0.000469749797969401,-0.000857657086938249,-0.00319918783680013,-2.79750041373697e-05,-0.00164234223101725,1.00339305861003,-0.210656747729655,0.0545147972265951,0.0396911253462902,0.0449329040909234,0.0276815111327083,0.110797718417818,0.0855857021199043,0.0788204024068382,0.0390695652843267,0.0428235099781188,0.0259537214625997
9,"WALKING",-0.370781496375482,0.467926045703065,0.00129083454900807,-0.00223285136065775,-0.00555940096972882,0.0261320785842768,-0.00656927672491211,0.00785267592775421,0.921469300135216,0.0570731684636418,0.275972640563401,0.0852764946299639,0.0692072194768317,0.0657626998895487,0.228001890360282,0.201275367575887,0.103002808515494,0.0824447749057546,0.0642857190357841,0.0577961288888797
10,"WALKING",-0.32564189646583,0.460240570094358,-0.00130530122993691,-0.000666379414421285,0.00179668433571993,0.00489346241149057,-0.00446627967743072,0.0133395348703903,0.88720004993809,0.0175245807194266,0.177240884994574,0.073611253476128,0.0776367951049527,0.0555647819403876,0.262138486910081,0.166284769908004,0.109228491235981,0.0710744750878756,0.0766567750178488,0.0538833427825311
11,"WALKING",-0.431253930319823,0.47799732886795,0.000650302823411017,-0.000301953573342161,0.000622048281365201,-0.0322448697532045,0.00872661044990996,0.00531702987277807,0.987192695087394,-0.235515839794915,-0.0664980948099444,0.218445066980857,0.128794069694384,0.115625120426612,0.34168527837198,0.353369585122317,0.251378406758677,0.217793404490077,0.127128454953417,0.112510178792742
